SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬華,臺北市,45,nan,良好,2.4,nan,39,15,28.0,12.0,16.8,20.6,3.7,2,319,2021-07-30 10:00,nan,0.37,14.0,27.0,1.0,121.507972,25.046503,13
萬華,臺北市,45,nan,良好,1.6,0.67,29.2,11,35.0,20.0,18.8,25.0,6.2,1.4,291,2021-07-30 09:00,nan,0.38,14.0,26.0,1.0,121.507972,25.046503,13
萬華,臺北市,41,nan,良好,0.9,0.64,11.2,8,31.0,16.0,18.6,28.8,10.2,0.7,324,2021-07-30 08:00,nan,0.36,12.0,23.0,1.0,121.507972,25.046503,13
萬華,臺北市,39,nan,良好,0.6,0.4,7.1,7,25.0,10.0,13.6,19.8,6.1,0.6,150,2021-07-30 07:00,nan,0.33,12.0,22.0,1.0,121.507972,25.046503,13
萬華,臺北市,43,nan,良好,0.4,0.21,12,7,21.0,11.0,5.0,5.4,0.3,1,160,2021-07-30 06:00,nan,0.35,13.0,22.0,1.0,121.507972,25.046503,13
萬華,臺北市,44,nan,良好,0.2,0.2,9.1,8,18.0,10.0,5.0,5.2,0.2,1.4,167,2021-07-30 05:00,nan,0.41,14.0,23.0,1.0,121.507972,25.046503,13
萬華,臺北市,48,nan,良好,0.4,0.2,8.5,9,22.0,11.0,5.2,5.7,0.4,0.8,156,2021-07-30 04:00,nan,0.47,15.0,23.0,1.0,121.507972,25.046503,13
萬華,臺北市,48,nan,良好,1.4,0.27,6.4,8,24.0,15.0,7.7,8.9,1.1,0.4,139,2021-07-30 03:00,nan,0.56,15.0,23.0,1.0,121.507972,25.046503,13
萬華,臺北市,49,nan,良好,1.1,0.45,5.2,8,26.0,14.0,19.4,21.2,1.8,1.1,159,2021-07-30 02:00,nan,0.66,15.0,23.0,1.0,121.507972,25.046503,13
萬華,臺北市,51,細懸浮微粒,普通,0.7,0.54,6.3,10,17.0,15.0,17.5,19.3,1.7,0.3,106,2021-07-30 01:00,nan,0.69,16.0,23.0,1.0,121.507972,25.046503,13
萬華,臺北市,51,細懸浮微粒,普通,0.8,0.39,6.1,12,24.0,11.0,14.0,16.4,2.3,0.8,164,2021-07-30 00:00,nan,0.69,16.0,24.0,1.0,121.507972,25.046503,13
萬華,臺北市,55.0,細懸浮微粒,普通,1.0,0.58,8.3,15,23.0,17.0,27.1,29.2,2.1,0.6,172,2021-07-29 23:00,nan,0.69,17.0,25.0,1.0,121.507972,25.046503,13
萬華,臺北市,55.0,細懸浮微粒,普通,1.8,0.69,14.3,18,25.0,16.0,25.4,26.7,1.3,0.9,102,2021-07-29 22:00,nan,0.66,17.0,26.0,1.0,121.507972,25.046503,13
萬華,臺北市,56.0,細懸浮微粒,普通,1.2,0.67,17.5,25,20.0,15.0,23.2,24.4,1.2,0.6,48,2021-07-29 21:00,nan,0.62,18.0,27.0,1.0,121.507972,25.046503,13
萬華,臺北市,58.0,細懸浮微粒,普通,1.5,0.91,6.3,30,32.0,20.0,37.6,41.3,3.7,1.4,275,2021-07-29 20:00,nan,0.58,18.0,28.0,1.0,121.507972,25.046503,13
萬華,臺北市,57.0,二氧化氮,普通,1.2,1.1,7.3,38,28.0,19.0,39.5,44.0,4.5,1.5,282,2021-07-29 19:00,nan,0.52,17.0,27.0,1.0,121.507972,25.046503,13
萬華,臺北市,53.0,細懸浮微粒,普通,1.3,0.71,17.5,45,27.0,18.0,32.2,35.1,2.8,0.6,181,2021-07-29 18:00,nan,0.43,16.0,25.0,1.0,121.507972,25.046503,13
萬華,臺北市,54.0,細懸浮微粒,普通,1.1,0.48,24.4,48,28.0,18.0,27.6,30.1,2.4,0.8,295,2021-07-29 17:00,nan,0.43,17.0,27.0,1.0,121.507972,25.046503,13
萬華,臺北市,53.0,細懸浮微粒,普通,0.7,0.4,30.6,47,23.0,13.0,25.6,27.6,2.0,1.4,85,2021-07-29 16:00,nan,0.46,16.0,26.0,1.0,121.507972,25.046503,13
萬華,臺北市,54.0,細懸浮微粒,普通,0.9,0.37,34,45,16.0,13.0,19.9,21.3,1.3,1.7,59,2021-07-29 15:00,nan,0.47,17.0,27.0,1.0,121.507972,25.046503,13
萬華,臺北市,55.0,細懸浮微粒,普通,1.0,0.34,62.8,42,37.0,23.0,14.0,15.6,1.5,1.9,59,2021-07-29 14:00,nan,0.47,17.0,29.0,1.0,121.507972,25.046503,13
萬華,臺北市,54.0,細懸浮微粒,普通,1.2,0.35,62.7,35,24.0,16.0,13.5,15.9,2.3,2.4,27,2021-07-29 13:00,nan,0.46,17.0,28.0,1.0,121.507972,25.046503,13
萬華,臺北市,54.0,細懸浮微粒,普通,1.5,0.42,71.3,28,32.0,16.0,16.4,18.5,2.1,1.9,24,2021-07-29 12:00,nan,0.46,17.0,29.0,1.0,121.507972,25.046503,13
萬華,臺北市,53.0,細懸浮微粒,普通,1.5,0.43,60.3,21,30.0,18.0,14.2,17.3,3.0,1.2,330,2021-07-29 11:00,nan,0.43,16.0,28.0,1.0,121.507972,25.046503,13
萬華,臺北市,52.0,細懸浮微粒,普通,1.4,0.72,38.5,15,31.0,21.0,23.5,30.6,7.1,2.4,296,2021-07-29 10:00,nan,0.41,16.0,28.0,1.0,121.507972,25.046503,13
萬華,臺北市,49.0,nan,良好,1.1,0.7,20.2,12,32.0,19.0,21.2,28.5,7.3,1.7,301,2021-07-29 09:00,nan,0.35,15.0,27.0,1.0,121.507972,25.046503,13
萬華,臺北市,47.0,nan,良好,0.9,0.45,12.5,10,29.0,13.0,14.7,20.0,5.2,0.7,211,2021-07-29 08:00,nan,0.31,15.0,26.0,1.0,121.507972,25.046503,13
萬華,臺北市,48.0,nan,良好,0.8,0.38,8.3,10,30.0,18.0,13.7,19.6,5.8,1.2,160,2021-07-29 07:00,nan,0.33,15.0,26.0,1.0,121.507972,25.046503,13
萬華,臺北市,45.0,nan,良好,0.7,0.29,10.2,10,25.0,14.0,7.8,9.3,1.4,0.9,139,2021-07-29 06:00,nan,0.39,14.0,24.0,1.0,121.507972,25.046503,13
萬華,臺北市,45.0,nan,良好,0.7,0.29,9.5,9,23.0,14.0,9.3,10.1,0.8,0.9,119,2021-07-29 05:00,nan,0.49,14.0,24.0,1.0,121.507972,25.046503,13
萬華,臺北市,44.0,nan,良好,0.8,0.24,12.8,9,27.0,15.0,6.4,7.2,0.8,0.9,164,2021-07-29 04:00,nan,0.6,13.0,24.0,1.0,121.507972,25.046503,13
萬華,臺北市,42.0,nan,良好,1.4,0.24,13.7,9,25.0,11.0,5.8,6.4,0.5,1.2,163,2021-07-29 03:00,nan,0.71,13.0,24.0,2.0,121.507972,25.046503,13
萬華,臺北市,46.0,nan,良好,1.6,0.27,10.5,9,22.0,14.0,9.3,10.2,0.9,1.2,160,2021-07-29 02:00,nan,0.83,14.0,24.0,2.0,121.507972,25.046503,13
萬華,臺北市,49.0,nan,良好,1.6,0.39,10.2,12,26.0,10.0,13.9,15.0,1.0,1.1,164,2021-07-29 01:00,nan,0.9,15.0,25.0,2.0,121.507972,25.046503,13
萬華,臺北市,54.0,細懸浮微粒,普通,1.9,0.57,8.2,17,25.0,10.0,23.2,25.1,1.9,0.8,162,2021-07-29 00:00,nan,0.9,17.0,26.0,2.0,121.507972,25.046503,13
萬華,臺北市,57.0,細懸浮微粒,普通,2.1,0.86,5.9,23,23.0,16.0,31.6,33.6,2.0,0.7,158,2021-07-28 23:00,nan,0.86,18.0,26.0,2.0,121.507972,25.046503,13
萬華,臺北市,58.0,二氧化氮,普通,2.1,1.1,4,32,31.0,20.0,41.9,45.8,3.8,1,165,2021-07-28 22:00,nan,0.8,18.0,26.0,1.0,121.507972,25.046503,13
萬華,臺北市,60.0,二氧化氮,普通,1.9,1.14,6.8,42,30.0,19.0,43.9,46.5,2.5,0.5,259,2021-07-28 21:00,nan,0.71,17.0,24.0,1.0,121.507972,25.046503,13
萬華,臺北市,62.0,二氧化氮,普通,2.0,1.14,14.5,55,22.0,14.0,46.8,48.2,1.4,0.4,318,2021-07-28 20:00,nan,0.63,17.0,23.0,1.0,121.507972,25.046503,13
萬華,臺北市,84.0,臭氧八小時,普通,1.8,1.17,17.9,65,18.0,17.0,48.4,51.0,2.5,0.4,306,2021-07-28 19:00,nan,0.55,18.0,24.0,1.0,121.507972,25.046503,13
萬華,臺北市,101.0,臭氧八小時,對敏感族群不健康,1.8,0.84,33.5,71,19.0,11.0,36.9,39.0,2.1,0.4,268,2021-07-28 18:00,nan,0.45,18.0,26.0,1.0,121.507972,25.046503,13
萬華,臺北市,108.0,臭氧八小時,對敏感族群不健康,1.6,0.39,50.2,73,19.0,16.0,17.2,18.2,0.9,1.9,72,2021-07-28 17:00,nan,0.4,20.0,29.0,1.0,121.507972,25.046503,13
萬華,臺北市,101.0,臭氧八小時,對敏感族群不健康,1.9,0.31,51.9,71,24.0,21.0,13.6,14.8,1.2,1.7,215,2021-07-28 16:00,nan,0.41,21.0,31.0,1.0,121.507972,25.046503,13
萬華,臺北市,87.0,臭氧八小時,普通,2.4,0.33,78,66,32.0,21.0,12.3,13.7,1.3,2.2,95,2021-07-28 15:00,nan,0.43,21.0,34.0,1.0,121.507972,25.046503,13
萬華,臺北市,63.0,細懸浮微粒,普通,2.2,0.38,89.2,58,34.0,21.0,14.1,15.7,1.5,1.8,10,2021-07-28 14:00,nan,0.43,20.0,33.0,1.0,121.507972,25.046503,13
萬華,臺北市,63.0,細懸浮微粒,普通,2.4,0.52,108.7,48,38.0,26.0,17.4,18.6,1.2,3,294,2021-07-28 13:00,nan,0.42,20.0,32.0,1.0,121.507972,25.046503,13
萬華,臺北市,61.0,細懸浮微粒,普通,2.2,0.47,91.3,36,38.0,24.0,13.7,14.8,1.1,1.5,6,2021-07-28 12:00,nan,0.39,19.0,32.0,1.0,121.507972,25.046503,13
萬華,臺北市,59.0,細懸浮微粒,普通,1.9,0.4,72,26,27.0,13.0,11.0,12.8,1.8,2,317,2021-07-28 11:00,nan,0.37,19.0,31.0,1.0,121.507972,25.046503,13
萬華,臺北市,60.0,細懸浮微粒,普通,1.9,0.44,47.2,18,30.0,25.0,14.7,17.9,3.2,0.9,154,2021-07-28 10:00,nan,0.36,19.0,31.0,1.0,121.507972,25.046503,13
萬華,臺北市,56.0,細懸浮微粒,普通,2.2,0.46,30,15,35.0,20.0,14.9,20.1,5.1,1.6,92,2021-07-28 09:00,nan,0.34,18.0,31.0,1.0,121.507972,25.046503,13
萬華,臺北市,54.0,細懸浮微粒,普通,2.4,0.45,18.2,14,35.0,23.0,15.7,21.3,5.5,1.1,99,2021-07-28 08:00,nan,0.33,17.0,29.0,1.0,121.507972,25.046503,13
萬華,臺北市,51.0,細懸浮微粒,普通,2.0,0.35,10.7,15,32.0,16.0,13.2,17.1,3.8,1.5,94,2021-07-28 07:00,nan,0.31,16.0,28.0,1.0,121.507972,25.046503,13
萬華,臺北市,53.0,細懸浮微粒,普通,1.7,0.3,8.9,18,33.0,17.0,10.9,12.7,1.7,0.9,108,2021-07-28 06:00,nan,0.3,16.0,28.0,1.0,121.507972,25.046503,13
萬華,臺北市,51.0,細懸浮微粒,普通,3.1,0.27,12.5,20,25.0,15.0,12.7,13.2,0.5,0.8,217,2021-07-28 05:00,nan,0.3,16.0,28.0,1.0,121.507972,25.046503,13
萬華,臺北市,53.0,細懸浮微粒,普通,3.9,0.34,8.9,22,33.0,15.0,16.7,17.7,1.0,0.4,299,2021-07-28 04:00,nan,0.3,16.0,30.0,1.0,121.507972,25.046503,13
萬華,臺北市,52.0,細懸浮微粒,普通,2.1,0.32,14,25,34.0,22.0,18.2,18.9,0.7,0.6,283,2021-07-28 03:00,nan,0.31,16.0,28.0,0.0,121.507972,25.046503,13
萬華,臺北市,47.0,nan,良好,1.8,0.3,20.6,27,32.0,14.0,18.7,19.3,0.5,0.5,270,2021-07-28 02:00,nan,0.33,15.0,26.0,0.0,121.507972,25.046503,13
萬華,臺北市,48.0,nan,良好,1.4,0.31,24.2,29,32.0,17.0,16.8,17.4,0.6,0.5,60,2021-07-28 01:00,nan,0.34,15.0,25.0,0.0,121.507972,25.046503,13
萬華,臺北市,45.0,nan,良好,0.2,0.29,25.8,35,25.0,12.0,11.8,12.5,0.7,2.1,308,2021-07-28 00:00,nan,0.34,14.0,23.0,0.0,121.507972,25.046503,13
萬華,臺北市,48,nan,良好,0.1,0.28,29.7,41,20.0,14.0,11.9,12.4,0.5,0.8,157,2021-07-27 23:00,nan,0.36,15,22.0,0.0,121.507972,25.046503,13
萬華,臺北市,48,nan,良好,0.2,0.29,29.7,45,21.0,14.0,14.9,15.8,0.8,1,107,2021-07-27 22:00,nan,0.37,15,23.0,0.0,121.507972,25.046503,13
