SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬華,臺北市,45,nan,良好,2.9,0.42,16.0,23.0,8.0,5.0,27.1,30.1,2.9,1.1,106,2021-05-31 23:00,nan,0.4,6.0,8.0,2.0,121.507972,25.046503,13
萬華,臺北市,47,nan,良好,3.0,0.48,12.9,24.0,10.0,4.0,28.6,32.2,3.5,1.1,88,2021-05-31 22:00,nan,0.4,7.0,7.0,2.0,121.507972,25.046503,13
萬華,臺北市,45,nan,良好,2.4,0.5,16.6,28.0,5.0,5.0,27.5,30.3,2.8,1,108,2021-05-31 21:00,nan,0.4,7.0,6.0,2.0,121.507972,25.046503,13
萬華,臺北市,47,nan,良好,2.4,0.51,18.9,32.0,4.0,7.0,28.3,31.5,3.1,1.1,123,2021-05-31 20:00,nan,0.3,8.0,7.0,2.0,121.507972,25.046503,13
萬華,臺北市,45,nan,良好,2.7,0.5,24.7,34.0,1.0,8.0,27.8,31.1,3.3,1.2,87,2021-05-31 19:00,nan,0.3,8.0,8.0,2.0,121.507972,25.046503,13
萬華,臺北市,38,nan,良好,1.5,0.43,30.1,36.0,5.0,4.0,23.6,26.3,2.6,2.1,112,2021-05-31 18:00,nan,0.3,8.0,10.0,2.0,121.507972,25.046503,13
萬華,臺北市,38,nan,良好,1.7,0.36,33.1,38.0,10.0,8.0,23.1,25.2,2.1,1.4,79,2021-05-31 17:00,nan,0.3,8.0,11.0,2.0,121.507972,25.046503,13
萬華,臺北市,37,nan,良好,1.7,0.34,31.8,38.0,13.0,10.0,22.8,25.9,3.1,0.8,77,2021-05-31 16:00,nan,0.3,8.0,10.0,2.0,121.507972,25.046503,13
萬華,臺北市,40,nan,良好,1.5,0.37,31.6,38.0,15.0,10.0,24.5,28.1,3.5,1.1,97,2021-05-31 15:00,nan,0.3,8.0,11.0,2.0,121.507972,25.046503,13
萬華,臺北市,38,nan,良好,1.3,0.31,41.2,41.0,10.0,9.0,17.4,20.4,2.9,2.2,94,2021-05-31 14:00,nan,0.3,7.0,10.0,2.0,121.507972,25.046503,13
萬華,臺北市,39,nan,良好,2.2,0.27,45.5,42.0,12.0,10.0,12.8,15.6,2.8,1.4,92,2021-05-31 13:00,nan,0.3,7.0,10.0,2.0,121.507972,25.046503,13
萬華,臺北市,40,nan,良好,4.2,0.31,40.1,43.0,20.0,10.0,18.1,22.1,3.9,2.6,73,2021-05-31 12:00,nan,0.2,7.0,9.0,2.0,121.507972,25.046503,13
萬華,臺北市,41,nan,良好,5.1,0.33,40.7,44.0,nan,5.0,18.2,21.2,2.9,2.4,95,2021-05-31 11:00,nan,0.2,6.0,7.0,2.0,121.507972,25.046503,13
萬華,臺北市,39,nan,良好,4.1,0.34,41.8,42.0,8.0,nan,16.9,20.0,3.0,2.2,90,2021-05-31 10:00,nan,0.2,6.0,7.0,2.0,121.507972,25.046503,13
萬華,臺北市,37,nan,良好,2.4,0.44,33.7,40.0,11.0,11.0,nan,nan,nan,2,99,2021-05-31 09:00,nan,0.2,5.0,6.0,2.0,121.507972,25.046503,13
萬華,臺北市,37,nan,良好,2.8,0.37,35.7,40.0,8.0,8.0,21.3,23.3,1.9,1.6,68,2021-05-31 08:00,nan,0.2,3.0,5.0,2.0,121.507972,25.046503,13
萬華,臺北市,35,nan,良好,3.5,0.21,49.3,38.0,3.0,1.0,10.7,10.9,0.1,1.8,97,2021-05-31 07:00,nan,0.2,2.0,4.0,2.0,121.507972,25.046503,13
萬華,臺北市,32,nan,良好,1.0,0.17,54.5,35.0,4.0,0.0,3.9,4.6,0.7,3.2,87,2021-05-31 06:00,nan,0.2,3.0,4.0,2.0,121.507972,25.046503,13
萬華,臺北市,30,nan,良好,1.2,0.16,51.4,32.0,0.0,0.0,nan,nan,nan,1.6,84,2021-05-31 05:00,nan,0.2,4.0,5.0,2.0,121.507972,25.046503,13
萬華,臺北市,27,nan,良好,1.4,0.17,45.2,29.0,1.0,2.0,3.9,4.3,0.4,1.9,84,2021-05-31 04:00,nan,0.2,5.0,6.0,2.0,121.507972,25.046503,13
萬華,臺北市,25,nan,良好,1.8,0.25,29.2,27.0,6.0,5.0,9.4,10.3,0.9,1.1,76,2021-05-31 03:00,nan,0.3,6.0,7.0,2.0,121.507972,25.046503,13
萬華,臺北市,24,nan,良好,1.8,0.26,27.7,26.0,8.0,5.0,10.6,10.5,0.0,0.4,354,2021-05-31 02:00,nan,0.3,6.0,8.0,2.0,121.507972,25.046503,13
萬華,臺北市,24,nan,良好,2.3,0.31,27.4,26.0,7.0,8.0,11.2,14.7,3.4,0.8,20,2021-05-31 01:00,nan,0.3,7.0,9.0,2.0,121.507972,25.046503,13
萬華,臺北市,24,nan,良好,3.3,0.32,25.0,26.0,12.0,9.0,11.9,14.5,2.6,0.4,305,2021-05-31 00:00,nan,0.3,6.0,8.0,2.0,121.507972,25.046503,13
萬華,臺北市,25,nan,良好,4.1,0.34,25.5,27.0,13.0,8.0,11.9,15.1,3.1,0.6,278,2021-05-30 23:00,nan,0.3,5.0,8.0,2.0,121.507972,25.046503,13
萬華,臺北市,25,nan,良好,4.4,0.35,24.9,27.0,13.0,8.0,12.3,15.4,3.0,1,265,2021-05-30 22:00,nan,0.2,5.0,6.0,2.0,121.507972,25.046503,13
萬華,臺北市,26,nan,良好,2.8,0.32,28.6,28.0,5.0,2.0,11.9,14.8,2.9,0.7,270,2021-05-30 21:00,nan,0.2,4.0,5.0,2.0,121.507972,25.046503,13
萬華,臺北市,27,nan,良好,2.5,0.29,29.9,29.0,5.0,4.0,12.3,15.8,3.4,0.6,157,2021-05-30 20:00,nan,0.2,4.0,5.0,2.0,121.507972,25.046503,13
萬華,臺北市,29,nan,良好,2.5,0.31,25.4,31.0,4.0,4.0,17.4,20.5,3.0,1,163,2021-05-30 19:00,nan,0.2,5.0,5.0,2.0,121.507972,25.046503,13
